                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.7167,                 1.2646,                 1.8701,                0.77627,                 0.8629,                0.90319,                0.58354,                  1.418,                 1.1642,                 1.7494,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.7164,                 1.2996,                 1.8839,                0.79328,                0.89747,                0.92774,                0.60312,                  1.398,                 1.1534,                 1.7373,               0.000416,               0.000416,               0.000416
                     83,                 1.6809,                 1.2404,                 1.7953,                0.79328,                0.89747,                0.92774,                0.60312,                  1.398,                 1.1534,                 1.7373,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.6523,                 1.2219,                 1.8253,                0.95077,                0.77878,                0.93802,                0.60659,                 1.3906,                 1.1781,                  1.744,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5816,                 1.2223,                 1.8024,                0.95077,                0.77878,                0.93802,                0.60659,                 1.3906,                 1.1781,                  1.744,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5547,                 1.1644,                 1.6632,                 0.9432,                0.80352,                0.94216,                0.62649,                 1.3393,                 1.1702,                 1.7249,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.545,                  1.162,                 1.7252,                 0.9432,                0.80352,                0.94216,                0.62649,                 1.3393,                 1.1702,                 1.7249,               0.000317,               0.000317,               0.000317
                     88,                 1.5705,                 1.1884,                 1.7349,                0.94654,                0.85665,                0.95977,                0.66456,                 1.2512,                  1.115,                 1.6878,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.6056,                 1.2416,                 1.8638,                0.94654,                0.85665,                0.95977,                0.66456,                 1.2512,                  1.115,                 1.6878,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.6351,                 1.1831,                 1.6838,                0.89231,                0.93552,                 0.9487,                0.66139,                 1.2136,                  1.054,                 1.6583,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.6312,                 1.5644,                 1.8517,                0.89231,                0.93552,                 0.9487,                0.66139,                 1.2136,                  1.054,                 1.6583,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.5287,                 1.5213,                 1.7366,                0.89879,                0.93104,                0.94488,                0.64978,                 1.2446,                 1.0385,                   1.65,               0.000218,               0.000218,               0.000218
                     93,                 1.6108,                 1.5573,                 1.9337,                0.89879,                0.93104,                0.94488,                0.64978,                 1.2446,                 1.0385,                   1.65,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.6111,                 1.5748,                 1.8555,                0.89856,                0.92872,                0.94668,                0.64813,                 1.2471,                 1.0271,                 1.6396,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.4781,                 1.4175,                 1.7259,                0.89856,                0.92872,                0.94668,                0.64813,                 1.2471,                 1.0271,                 1.6396,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.4505,                 1.4071,                 1.8229,                0.89969,                0.91935,                0.95276,                0.64163,                 1.2373,                 1.0111,                 1.6251,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3999,                 1.3325,                  1.651,                0.89969,                0.91935,                0.95276,                0.64163,                 1.2373,                 1.0111,                 1.6251,               0.000119,               0.000119,               0.000119
                     98,                  1.522,                 1.4228,                 1.7979,                0.91188,                0.91129,                0.95848,                0.64471,                 1.2395,                 1.0092,                 1.6169,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                  1.435,                  1.331,                 1.7796,                0.91188,                0.91129,                0.95848,                0.64471,                 1.2395,                 1.0092,                 1.6169,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.5205,                 1.4237,                 1.8731,                0.94189,                0.89516,                0.96385,                 0.6519,                 1.2407,                 1.0095,                  1.611,               5.96e-05,               5.96e-05,               5.96e-05
